ticker,date,time,headline,neg,neu,pos,compound
AMZN,2020-05-19,07:19PM,Top 5 Highest Priced Stocks In America,0.0,0.735,0.265,0.2023
AMZN,2020-05-19,07:09PM,"eCommerce Isnt Amazons Only Segment Benefiting from COVID-19, Says 5-Star Analyst",0.0,0.903,0.097,0.0191
AMZN,2020-05-19,06:39PM,US Indexes End Lower Tuesday,0.355,0.645,0.0,-0.296
AMZN,2020-05-19,05:40PM,Why Spotify Stock Surged Today,0.0,1.0,0.0,0.0
AMZN,2020-05-19,05:21PM,"Walmart and Home Depot Are Seeing Huge E-Commerce Growth, For Now",0.0,0.647,0.353,0.5994
AMZN,2020-05-19,04:57PM,Dow ends 390 points lower after report cast doubt on Modernas coronavirus vaccine candidate,0.281,0.719,0.0,-0.5719
AMZN,2020-05-19,04:56PM,Covid-19 is helping Walmart make up ground against Amazon,0.0,0.642,0.358,0.4404
AMZN,2020-05-19,04:22PM,Report Says Amazon Could Be Interested In JCPenney Acquisition,0.0,0.614,0.386,0.5267
AMZN,2020-05-19,03:57PM,Kohls says it will eliminate eight womens brands including Jennifer Lopez and PopSugar in favor of more active gear,0.0,0.749,0.251,0.6901
AMZN,2020-05-19,03:20PM,"Coronavirus update: U.S. death toll tops 91,000; Trump slams WHO, says hes taking hydroxychloroquine to stave off COVID-19",0.168,0.69,0.142,-0.1531
AMZN,2020-05-19,02:51PM,What Amazon Could Gain by Buying J.C. Penney,0.0,0.541,0.459,0.6249
AMZN,2020-05-19,02:36PM,Stimulus checks may be yanking the economy out of the next Great Depression,0.197,0.585,0.218,0.1027
AMZN,2020-05-19,02:31PM,Opinion: Is Amazon Really A Winner Of The Pandemic?,0.0,0.509,0.491,0.6997
AMZN,2020-05-19,02:23PM,Sources Say Amazon Might Be Interested in Acquiring J.C. Penney,0.0,0.645,0.355,0.5267
AMZN,2020-05-19,02:20PM,"Off the Chain Capital to Host Webinar 4pm EST Tuesday, May 26  Turbulent Times: Why Add Bitcoin to Your Portfolio Now",0.0,1.0,0.0,0.0
AMZN,2020-05-19,02:20PM,Why Global Fund Managers Say This Is a Bear Market Rally,0.0,1.0,0.0,0.0
AMZN,2020-05-19,01:41PM,E-commerce ETFs rally sharply as bricks-and-mortar underwhelms,0.0,1.0,0.0,0.0
AMZN,2020-05-19,01:31PM,FAANG stocks are totally ignoring the COVID-19 pandemic and are approaching this stunning level,0.166,0.667,0.167,0.0018
AMZN,2020-05-19,01:15PM,Walmart spent nearly $900 million on the coronavirus in Q1 and says its a reasonable assumption that theyll spend that much in Q2,0.0,1.0,0.0,0.0
AMZN,2020-05-19,01:05PM,Amazon to create jobs in Delaware with new fulfillment center; stock rises toward record,0.0,0.759,0.241,0.4215
AMZN,2020-05-19,12:58PM,US STOCKS-S&P 500 flat after mixed retail earnings,0.0,1.0,0.0,0.0
AMZN,2020-05-19,12:30PM,"Women In Film LA, ReFrame and IMDbPro Launch CURBSIDE SHORTS  Two-Minute Filmmaking Challenge to Connect and Support the Creative Community During the COVID-19 Crisis; Support Provided by MPA for COVID-19 Relief",0.098,0.598,0.304,0.765
AMZN,2020-05-19,11:34AM,"Apple Buys Off-The-Air Movies, TV Shows to Better Challenge Netflix",0.0,0.656,0.344,0.4939
AMZN,2020-05-19,11:24AM,US STOCKS-S&P 500 steady after mixed retail earnings,0.0,1.0,0.0,0.0
AMZN,2020-05-19,10:51AM,Amazon (AMZN) Strengthens AWS Portfolio With Macie Updates,0.0,0.561,0.439,0.5719
AMZN,2020-05-19,10:10AM,Walmart's Winning Ways Will Last After Lockdowns,0.0,0.638,0.362,0.5267
AMZN,2020-05-19,09:20AM,The U.S. Space Force Is Starting to Launch Rockets. These Stocks Should Benefit.,0.0,0.8,0.2,0.4588
AMZN,2020-05-19,09:00AM,How to Make Coronavirus Restrictions Easier to Swallow,0.0,0.714,0.286,0.4215
AMZN,2020-05-19,09:00AM,Lyell Immunopharma Goes All-In on AWS as its Cloud Provider,0.0,1.0,0.0,0.0
AMZN,2020-05-19,08:45AM,Better Buy: Netflix vs. Google,0.0,0.58,0.42,0.4404
AMZN,2020-05-19,08:39AM,Why Amazon Spending a Quarter's Worth of Profits to Protect Employees From Coronavirus Will Pay Off,0.068,0.488,0.444,0.7717
AMZN,2020-05-19,08:32AM,"Got $3,000? Invest in These 3 High-Growth Stocks Right Now",0.0,1.0,0.0,0.0
AMZN,2020-05-19,08:30AM,Emotional Control Is the Most Important Factor in Successful Investing,0.0,0.483,0.517,0.7574
AMZN,2020-05-19,06:06AM,Warren Buffett's 3 Most Surprising Moves in Q1,0.0,0.715,0.285,0.3384
AMZN,2020-05-19,05:00AM,"Apple Buys Older Shows for TV+, Stepping Up Netflix Challenge",0.0,0.874,0.126,0.0772
AMZN,2020-05-19,02:55AM,Amazon Is Said To Be In Talks To Buy Bankrupt J.C. Penney,0.235,0.654,0.111,-0.4404
AMZN,2020-05-19,01:35AM,Amazon Warehouse Workers In Seattle Area Can Now Have Access To Company's Virtual Medical Clinic,0.0,0.892,0.108,0.1779
AMZN,2020-05-18,05:47PM,The Dogs of the Market Led Stocks Higher. That Could Be a Bullish Sign.,0.0,1.0,0.0,0.0
AMZN,2020-05-18,05:36PM,"Amazon to Open New Warehouse in New York, Hire 1,000 Workers",0.0,0.855,0.145,0.1779
AMZN,2020-05-18,05:27PM,Mario Gabelli Adds to Amazon Holding in 1st Quarter,0.0,0.825,0.175,0.1779
AMZN,2020-05-18,04:10PM,"FedEx Pops On Alliance with Microsoft, In Challenge To Amazon",0.0,0.727,0.273,0.25
AMZN,2020-05-18,04:03PM,"Warren Buffett, Top Funds Dumped These Stocks But Key Buys Stand Out",0.186,0.69,0.124,-0.2263
AMZN,2020-05-18,03:57PM,"The best bet might be to stay on the sidelines, according to this chart of winners and losers in this pandemic",0.118,0.627,0.254,0.5994
AMZN,2020-05-18,02:57PM,Walmart Reports Earnings Tomorrow. Heres What to Expect.,0.0,1.0,0.0,0.0
